state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,00:00,2022-01-01,10:00,3.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,01:00,2022-01-01,11:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,02:00,2022-01-01,12:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,03:00,2022-01-01,13:00,0.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,04:00,2022-01-01,14:00,-1.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,05:00,2022-01-01,15:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,06:00,2022-01-01,16:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,07:00,2022-01-01,17:00,-1.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,08:00,2022-01-01,18:00,-2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,09:00,2022-01-01,19:00,15.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,10:00,2022-01-01,20:00,6.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,11:00,2022-01-01,21:00,4.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,12:00,2022-01-01,22:00,0.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,13:00,2022-01-01,23:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,14:00,2022-01-02,00:00,4.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,15:00,2022-01-02,01:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,16:00,2022-01-02,02:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,17:00,2022-01-02,03:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,18:00,2022-01-02,04:00,-1.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,19:00,2022-01-02,05:00,1.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,20:00,2022-01-02,06:00,3.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,21:00,2022-01-02,07:00,4.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,22:00,2022-01-02,08:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
15,001,0005,88101,1,19.4308,-155.2578,WGS84,PM2.5 - Local Conditions,2022-01-01,23:00,2022-01-02,09:00,2.0,Micrograms/cubic meter (LC),105,1 HOUR,1,HOURLY,5.0,,,FEM,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,170,Hawaii,Hawaii,2022-03-29,25900
