date,temperature_2m,relative_humidity_2m,precipitation,rain,showers,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m
2025-09-25 00:00:00+00:00,23.9065,66.0,0.0,0.0,0.0,0.20000002,1.0086855,12.88981,16.992609,17.208603,16.92383,54.090195,53.61555,52.650585,51.911175,32.760002
2025-09-25 01:00:00+00:00,22.8565,73.0,0.0,0.0,0.0,0.13,0.75188065,11.885453,15.696165,15.9134655,16.135872,54.865723,53.392834,52.35232,51.34017,30.960001
2025-09-25 02:00:00+00:00,22.3065,76.0,0.0,0.0,0.0,0.09,0.64642,10.233123,13.513193,14.003028,14.003028,50.710617,48.2398,46.041542,43.958473,27.72
2025-09-25 03:00:00+00:00,21.8565,77.0,0.0,0.0,0.0,0.06,0.6027653,8.669949,12.218805,12.475961,12.496718,48.366554,44.999897,43.83095,41.49638,24.119999
2025-09-25 04:00:00+00:00,20.956501,83.0,0.0,0.0,0.0,0.03,0.42165232,5.8603754,9.178235,9.220499,9.290511,47.489597,41.82009,38.65983,35.537766,20.519999
2025-09-25 05:00:00+00:00,20.1565,89.0,0.0,0.0,0.0,0.01,0.25971627,3.0547013,6.297428,6.6087217,7.0911775,44.999897,30.963696,29.357658,23.962492,13.32
2025-09-25 06:00:00+00:00,19.5065,94.0,0.0,0.0,0.0,-0.0,0.13607454,1.8,4.0249224,4.379589,5.506941,306.86996,349.69522,350.53775,348.6901,6.4799995
2025-09-25 07:00:00+00:00,18.7565,96.0,0.0,0.0,0.0,-0.0,0.08658171,3.2599385,4.8433046,5.0911684,5.495161,263.6599,311.98712,315.0001,328.39255,6.12
2025-09-25 08:00:00+00:00,17.6565,96.0,0.0,0.0,0.0,0.0,0.08082008,5.5887027,6.162207,3.8773184,3.0758414,255.06853,276.70975,291.80148,339.44388,11.159999
2025-09-25 09:00:00+00:00,17.0065,90.0,0.0,0.0,0.0,-0.0,0.19395137,7.628263,7.8954163,5.95906,4.3498964,250.70985,245.77226,244.98314,245.55606,15.84
2025-09-25 10:00:00+00:00,16.8065,82.0,0.0,0.0,0.0,0.01,0.34475505,8.311245,9.290511,7.145796,5.8603754,252.3498,234.46223,229.08571,222.5104,17.28
2025-09-25 11:00:00+00:00,16.7565,78.0,0.0,0.0,0.0,0.01,0.4200536,8.427383,9.957108,7.9036193,6.830519,250.0168,220.60121,210.0685,198.43504,17.28
