time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_cf_1,datetime_utc
1759831200,71,76,990.34,1.5,1.5,2025-10-07 10:00:00+00:00
1759860000,38,99,990.39,0.0,0.0,2025-10-07 18:00:00+00:00
1759845600,69,73,989.21,1.3,1.3,2025-10-07 14:00:00+00:00
1759874400,38,97,989.24,0.2,0.2,2025-10-07 22:00:00+00:00
1759870800,40,97,989.82,0.0,0.0,2025-10-07 21:00:00+00:00
1760018400,67,80,990.47,0.1,0.1,2025-10-09 14:00:00+00:00
1760014800,69,80,990.48,0.2,0.2,2025-10-09 13:00:00+00:00
1759986000,62,85,991.04,3.0,3.0,2025-10-09 05:00:00+00:00
1759978800,59,86,989.91,0.1,0.1,2025-10-09 03:00:00+00:00
1760047200,46,94,990.91,1.3,1.3,2025-10-09 22:00:00+00:00
1760036400,49,93,992.26,1.3,1.3,2025-10-09 19:00:00+00:00
1760004000,68,82,991.63,0.1,0.1,2025-10-09 10:00:00+00:00
1760079600,65,84,993.4,1.2,1.2,2025-10-10 07:00:00+00:00
1760072400,65,84,992.26,0.3,0.3,2025-10-10 05:00:00+00:00
1760101200,66,81,992.32,1.1,1.1,2025-10-10 13:00:00+00:00
1759924800,72,76,990.45,0.0,0.0,2025-10-08 12:00:00+00:00
1759892400,54,87,989.22,0.1,0.1,2025-10-08 03:00:00+00:00
1759903200,66,81,991.33,3.1,3.1,2025-10-08 06:00:00+00:00
1759928400,71,75,990.12,0.0,0.0,2025-10-08 13:00:00+00:00
1759906800,69,80,991.76,3.1,3.1,2025-10-08 07:00:00+00:00
1759885200,42,93,988.45,0.5,0.5,2025-10-08 01:00:00+00:00
1759899600,65,83,990.65,3.5,3.5,2025-10-08 05:00:00+00:00
1759881600,38,95,988.36,0.4,0.4,2025-10-08 00:00:00+00:00
1759946400,38,101,991.11,0.0,0.0,2025-10-08 18:00:00+00:00
1760212800,42,97,995.47,0.1,0.1,2025-10-11 20:00:00+00:00
1760191200,70,76,993.85,0.2,0.2,2025-10-11 14:00:00+00:00
1760216400,45,95,994.81,0.3,0.3,2025-10-11 21:00:00+00:00
1760198400,69,77,994.71,0.2,0.2,2025-10-11 16:00:00+00:00
1760144400,45,94,992.31,0.0,0.0,2025-10-11 01:00:00+00:00
1760281200,71,75,992.72,0.1,0.1,2025-10-12 15:00:00+00:00
1760310000,38,96,990.46,0.0,0.0,2025-10-12 23:00:00+00:00
1760299200,40,96,993.26,0.1,0.1,2025-10-12 20:00:00+00:00
1760356800,69,77,991.16,0.0,0.0,2025-10-13 12:00:00+00:00
1760335200,67,80,993.08,0.4,0.4,2025-10-13 06:00:00+00:00
1760367600,69,75,990.75,0.0,0.0,2025-10-13 15:00:00+00:00
1759849200,70,73,989.46,1.0,1.0,2025-10-07 15:00:00+00:00
1759852800,69,73,989.83,1.1,1.1,2025-10-07 16:00:00+00:00
1759878000,35,97,988.63,0.0,0.0,2025-10-07 23:00:00+00:00
1759867200,40,97,990.32,0.0,0.0,2025-10-07 20:00:00+00:00
1760040000,47,95,991.98,1.6,1.6,2025-10-09 20:00:00+00:00
1760022000,67,79,990.78,0.1,0.1,2025-10-09 15:00:00+00:00
1759975200,55,89,989.24,0.2,0.2,2025-10-09 02:00:00+00:00
